ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x,FixDurSum,FixCount,SaccAmpMean,SaccMaxVelPeak,SaccCount,RegCountSum,ROIFixDurSum
n18q5,Control,18,5,0.0285196921684019,0.0583974649162516,0.8412698412698413,0.5968992248062015,0.9182958340544896,1.5465935642949382,3667.0,7,5.3665371503740875,102.5167070555034,8,8,5.988
n19q1,Control,19,1,0.0540625,0.088125,0.8901734104046243,0.925531914893617,2.757495610945634,2.4934515463505824,7714.0,9,1.0255163093687256,71.7272473446225,8,0,9.549999999999999
n19q2,Control,19,2,0.0324619362252226,0.0554438379775926,0.8053097345132744,0.6476683937823834,1.7381493331928664,1.7917374334224665,3423.0,11,2.813091664249159,140.36042478959234,15,3,7.09
n19q3,Control,19,3,0.0636925557645794,0.0739048642837946,0.8649789029535865,0.7381818181818182,2.0583650449231623,1.815239207214976,4764.0,8,2.1351978294244742,173.4758250525625,13,8,7.455
n19q4,Control,19,4,0.2422127933399022,0.2731002031008063,0.9300954753009548,0.9076651203887784,3.061735136632928,3.1635012480135014,22365.0,17,3.010701744859488,96.5389370095674,16,4,26.279
n19q5,Control,19,5,0.059753086419753,0.0676543209876543,0.7520661157024794,0.7372262773722628,1.57797720011724,1.2415101887362598,3545.0,6,1.587722859404993,133.56846505494917,9,3,5.622
n2q1,Control,2,1,0.0554195011337868,0.0862585034013605,0.8952536824877251,0.9158780231335436,2.55804239788196,2.514074114886572,10146.0,11,0.6609169599314274,78.75319574075277,12,2,12.841
n2q2,Control,2,2,0.0324046797407625,0.0584967595320259,0.8285714285714286,0.7841726618705036,1.9337823141163333,1.8238920312943967,7211.0,15,0.6755109075899114,99.90747486628558,29,8,13.078999999999997
n2q3,Control,2,3,0.0458201666187877,0.0624820453892559,0.8840125391849529,0.8505747126436781,2.594882449122894,2.277286740568129,8679.0,19,2.9296049787431504,97.1807452660778,22,15,14.669999999999998
n2q4,Control,2,4,0.1389506486230983,0.2071567374520754,0.8830792490865567,0.9141384264345476,3.3263081720118066,3.3912578344526887,24204.0,16,0.2428152217409774,89.79029136581197,25,11,28.724
n2q5,Control,2,5,0.0753116343490304,0.1121018005540166,0.9011494252873564,0.8525096525096525,2.739951220395999,2.5228796000260303,15155.0,12,0.9018165234014519,92.57891528941636,17,7,18.216999999999985
n20q1,Control,20,1,0.0333333333333333,0.0694444444444444,0.75,0.784,1.5465935642949382,1.883039559820491,4160.0,7,2.8493022151144816,98.29194123426518,14,8,7.583
n20q2,Control,20,2,0.0452446906740535,0.0680209295167744,0.8775510204081632,0.7375565610859729,2.062683189255492,1.992708770800467,4524.000000000001,7,1.0158963775569454,129.44945486973208,12,0,6.844999999999999
