ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x
m19q1,MCI,19,1,0.0285318559556786,0.0613296398891966,0.7165048543689321,0.6955736224028907,1.9123767720530696,1.7889176965090396
m19q2,MCI,19,2,0.0372314049586776,0.0716115702479338,0.7247502774694784,0.6739757645701097,1.755304510830349,1.8569089675859811
m19q3,MCI,19,3,0.0432520808561236,0.0740190249702734,0.7628865979381443,0.7931726907630522,1.8086017462764865,2.366026887196653
m19q4,MCI,19,4,0.1276325376906532,0.1757019807173104,0.89271629112772,0.9170990684163076,2.8606857192180546,2.93073634865185
m19q5,MCI,19,5,0.0327080780469412,0.0600433594118201,0.8040345821325648,0.7048665620094191,1.8743670408516868,1.835196663263728
m2q1,MCI,2,1,0.0864314219701743,0.1361583700903171,0.9474483596597812,0.9261473197069032,3.35968314697656,3.0355969152171043
m2q2,MCI,2,2,0.0297309027777777,0.0764853395061728,0.8686131386861314,0.8537200504413619,2.7614654049230647,2.516863508457753
m2q3,MCI,2,3,0.0557479224376731,0.1025796398891966,0.8524844720496895,0.869198312236287,2.5433523444275083,2.483560503894172
m2q4,MCI,2,4,0.0937887033214486,0.1635804090823794,0.8591436574629852,0.8880374432157114,2.5729964689283102,2.7263086472154363
m2q5,MCI,2,5,0.044913741820345,0.1639649018441404,0.7185430463576159,0.8471655328798186,1.7103633293524632,2.277281630757786
m20q1,MCI,20,1,0.0575968809073724,0.1334475425330812,0.8871794871794871,0.8689685701637893,2.526919888080616,2.375201693758
m20q2,MCI,20,2,0.0300887573964497,0.0760059171597633,0.7797443461160275,0.7668353444920203,2.449247942747607,2.3581655517472724
m20q3,MCI,20,3,0.0289795918367346,0.0653061224489796,0.704225352112676,0.60625,0.9055872616982604,0.8638629750648303
m20q4,MCI,20,4,0.0259751820399152,0.0670654631558332,0.794379712131597,0.736129546057871,1.998609184802168,2.19419930963272
m20q5,MCI,20,5,0.0555017301038062,0.092318339100346,0.7855361596009975,0.7361319340329835,1.916352076599964,2.149924414716932
m3q1,MCI,3,1,0.0443778619481033,0.0998925886143931,0.8598726114649682,0.8381437464629315,2.2110764978420923,2.3493205387174463
m3q2,MCI,3,2,0.0233910034602076,0.0684429065743944,0.757396449704142,0.7482305358948432,1.3015679528347563,1.5898693467417933
m3q3,MCI,3,3,0.0363723762217593,0.0568819099503284,0.8590308370044053,0.7746478873239436,1.6398071201938034,1.7092891019282757
m3q4,MCI,3,4,0.1181473951790143,0.205675970684547,0.8444604925666758,0.8930293103694908,2.412834458908971,2.850367496908605
m3q5,MCI,3,5,0.0394965277777777,0.0928819444444444,0.7967032967032966,0.7827102803738317,1.8491713631868807,2.008364542778778
m4q1,MCI,4,1,0.0698666666666666,0.1388444444444444,0.806615776081425,0.8156209987195903,2.140273153596801,2.2949584410101767
m4q2,MCI,4,2,0.0273577324859376,0.0778727445394112,0.7690253671562083,0.8372420262664165,2.038788914457349,2.1929493321372844
m4q3,MCI,4,3,0.0547759167043911,0.0864644635581711,0.7355371900826446,0.7801047120418848,1.9068905956085187,2.698969909410619
m4q4,MCI,4,4,0.116937618147448,0.2271455576559546,0.8283220174587779,0.8846537949400799,2.223960212009441,2.5900731876533745
m4q5,MCI,4,5,0.037344777209642,0.1021731190650109,0.7946210268948656,0.7971403038427167,1.5936444790594473,1.986797760130521
m5q1,MCI,5,1,0.0391422193877551,0.0797592474489796,0.7576374745417516,0.7726136931534233,2.06923673299018,1.9938978042967224
m5q2,MCI,5,2,0.0304,0.06465,0.7845394736842105,0.7532869296210364,1.833334766698208,1.9909384109028645
m5q3,MCI,5,3,0.0555555555555555,0.0891632373113854,0.8271604938271605,0.8384615384615385,1.9871446890819664,1.9692712794821203
m5q4,MCI,5,4,0.1064819178684764,0.1623464354164702,0.8432182551391758,0.8335591252177279,2.45640307334802,2.493073155236662
m5q5,MCI,5,5,0.03955078125,0.09375,0.7530864197530864,0.734375,1.8679653582397109,1.8501131643491533
m6q1,MCI,6,1,0.0297387558010091,0.0772745015830791,0.7763733592610598,0.7302151543498597,1.7778537659910034,1.7076149447522653
m6q2,MCI,6,2,0.0162107230080807,0.0588929502204592,0.6663296258847321,0.625382688561091,1.4802128823584009,1.5832807027688691
m6q3,MCI,6,3,0.0608872793119058,0.0894069714803078,0.8066914498141264,0.7367088607594937,1.9987596555157616,1.7335651660295015
